Deliverable Name,Data Type,Data Type Description (from Data Type),Example Deliverable,Workshop That Produces the Deliverable,Figma Template for the Workshop (from Workshops),Deliverable Description,Online Resources,Steps to Produce Deliverable,Why is this deliverable valuable?,How To Work Cross-Functionally On the Deliverable,Project Milestone Where It's Delivered,Duty Who Owns the Activity (from Required Tasks),Required Activities,Who's Responsible? (from Required Activities),Who's Accountable? (from Required Activities),Who's Consulted? (from Required Activities),Who's Informed? (from Required Activities),Other Duties Involved (from Required Activities),Required Hard Skills (from Required Tasks),Practices Associated with the Activity (from Required Tasks)
Acceptance Criteria,Deliverable,Something provided as a result of a process.,Example provided at: https://www.atlassian.com/agile/project-management/requirements/acceptance-criteria,,,"Acceptance Criteria are clear statements that explain what a feature or requirement must do so everyone understands when the work is finished and correct, and they are created by gathering information, writing details, and making sure all needs are included and easy to check.","1. Atlassian: ""How to write acceptance criteria""  
https://www.atlassian.com/agile/project-management/user-stories/acceptance-criteria

2. Scrum.org: ""Acceptance Criteria: Definition, Examples, and Best Practices""  
https://www.scrum.org/resources/blog/acceptance-criteria-definition-examples-and-best-practices

3. Mountain Goat Software: ""Acceptance Criteria and User Stories""  
https://www.mountaingoatsoftware.com/blog/acceptance-criteria-and-user-stories","Steps to produce the deliverable: 
1. Define what the feature should do by talking with everyone who knows about the product and writing down the main idea.
2. Gather and improve the details about what is needed for the feature by asking questions, listening, and making sure nothing is missed.
3. Write clear Acceptance Criteria that explain exactly what the feature must do so everyone understands, using good communication, problem-solving, and careful checking, while making sure all duties are informed and can give advice.","Acceptance Criteria are valuable because they clearly explain what needs to be done and how everyone will know when the work is finished, helping people with different duties understand what is expected so they can work together and reach the milestone successfully.","To complete the Acceptance Criteria, the Product Ownership and Business Analysis duties are accountable for making sure everything is correct and finished, while Product Ownership and Business Analysis are also responsible for doing the work like defining the feature vision, gathering and refining requirements, and writing the Acceptance Criteria. Product Management, Business Analysis, UX (User Experience) Design, UX (User Experience) Research, UX (User Experience) Writing, UX (User Experience) Strategy, Scrum Master, Project Management, Solutions Architecture, Development, QA Analysis, and Information Security Analysis are consulted to give advice and share their knowledge during the process. All duties, including Business Analysis, Development, Graphic Design, Information Security Analysis, Product Management, Product Operations, Product Ownership, Project Management, QA Analysis, Scrum Master, Solutions Architecture, UX (User Experience) Design, UX (User Experience) Research, UX (User Experience) Strategy, UX (User Experience) Writing, Account Management, and Agile Coaching, are informed so everyone knows what is happening. The duties use skills like problem-solving, teamwork, attention to detail, and communication, and follow practices such as decision-making, ownership, and psychological safety to reach the Requirements milestone together.",Requirements,"Business Analysis,Product Ownership,Product Ownership,Business Analysis,Business Analysis,Business Analysis","Creating Acceptance Criteria,Feature Scope Definition,Feature Vision Definition,Requirements Gathering,Requirements Refinement,Writing Requirements","Business Analysis,Product Ownership,Business Analysis,Product Ownership,Business Analysis,Business Analysis,Business Analysis,Business Analysis","Product Ownership,Product Ownership,Product Ownership,Business Analysis,Business Analysis,Business Analysis","UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Writing,UX (User Experience) Strategy,Product Management,Scrum Master,Account Management,Development,Solutions Architecture,Product Management,Business Analysis,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Writing,UX (User Experience) Strategy,Scrum Master,Project Management,Solutions Architecture,Development,QA Analysis,Information Security Analysis,Product Management,Business Analysis,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Writing,UX (User Experience) Strategy,Scrum Master,Project Management,Solutions Architecture,Development,QA Analysis,Information Security Analysis,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Writing,UX (User Experience) Strategy,Product Management,Scrum Master,Account Management,Development,Solutions Architecture,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Writing,UX (User Experience) Strategy,Product Management,Scrum Master,Account Management,Development,Solutions Architecture,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Writing,UX (User Experience) Strategy,Product Management,Scrum Master,Account Management,Development,Solutions Architecture","Business Analysis,Development,Graphic Design,Information Security Analysis,Product Management,Product Operations,Product Ownership,Project Management,QA Analysis,Scrum Master,Solutions Architecture,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Strategy,UX (User Experience) Writing,Account Management,Agile Coaching,All duties,Business Analysis,Development,Graphic Design,Information Security Analysis,Product Management,Product Operations,Product Ownership,Project Management,QA Analysis,Scrum Master,Solutions Architecture,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Strategy,UX (User Experience) Writing,Account Management,Agile Coaching,All duties,Business Analysis,Development,Graphic Design,Information Security Analysis,Product Management,Product Operations,Product Ownership,Project Management,QA Analysis,Scrum Master,Solutions Architecture,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Strategy,UX (User Experience) Writing,Account Management,Agile Coaching,All duties,Business Analysis,Development,Graphic Design,Information Security Analysis,Product Management,Product Operations,Product Ownership,Project Management,QA Analysis,Scrum Master,Solutions Architecture,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Strategy,UX (User Experience) Writing,Account Management,Agile Coaching,All duties,Business Analysis,Development,Graphic Design,Information Security Analysis,Product Management,Product Operations,Product Ownership,Project Management,QA Analysis,Scrum Master,Solutions Architecture,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Strategy,UX (User Experience) Writing,Account Management,Agile Coaching,All duties,Business Analysis,Development,Graphic Design,Information Security Analysis,Product Management,Product Operations,Product Ownership,Project Management,QA Analysis,Scrum Master,Solutions Architecture,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Strategy,UX (User Experience) Writing,Account Management,Agile Coaching","Development,UX (User Experience) Writing,UX (User Experience) Strategy,UX (User Experience) Research,UX (User Experience) Design,Solutions Architecture,Scrum Master,QA Analysis,Project Management,Product Ownership,Product Operations,Product Management,Information Security Analysis,Graphic Design,Business Analysis,Development,Product Management,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Strategy,UX (User Experience) Writing,Business Analysis,Development,Product Management,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Strategy,UX (User Experience) Writing,All duties,All duties,All duties","Assumption Formation,Attention to Detail,Advocacy,AI Prompting,Building Influence,Buy-in Generation,Business Acumen,Collaboration,Critical Thinking,Decision-Making,Perserverence,Organization,Commitment,Initiative,Logical Thinking,Problem Statements,Problem-Solving,Teamwork,Time Management,Verbal Communication,Written Communication,Negotiation,Attention to Detail,Advocacy,Building Influence,Buy-in Generation,Business Acumen,Collaboration,Critical Thinking,Decision-Making,Perserverence,Organization,Commitment,Initiative,Logical Thinking,Problem-Solving,Teamwork,Time Management,Verbal Communication,Written Communication,Negotiation,Attention to Detail,Advocacy,Building Influence,Buy-in Generation,Business Acumen,Collaboration,Critical Thinking,Decision-Making,Perserverence,Organization,Commitment,Epic and Feature Management,Initiative,Logical Thinking,Release Management,Problem-Solving,Teamwork,Time Management,Verbal Communication,Written Communication,Vision Formation,Meeting Facilitation,Negotiation,Acceptance Criteria Creation,Attention to Detail,Advocacy,Building Influence,Buy-in Generation,Business Acumen,Collaboration,Critical Thinking,Decision-Making,Perserverence,Organization,Commitment,Expectation Setting,Initiative,Interviewing,Logical Thinking,Problem-Solving,Requirements Management,Stakeholder Management,Teamwork,Time Management,Use Case Scenarios,Verbal Communication,Written Communication,Meeting Facilitation,Negotiation,Acceptance Criteria Creation,Attention to Detail,Advocacy,Building Influence,Buy-in Generation,Business Acumen,Collaboration,Critical Thinking,Decision-Making,Perserverence,Organization,Commitment,Delivering Feedback,Expectation Setting,Initiative,Logical Thinking,Problem-Solving,Requirements Management,Stakeholder Management,Teamwork,Time Management,Use Case Scenarios,User Stories,Verbal Communication,Written Communication,Acceptance Criteria Creation,Attention to Detail,Advocacy,AI Prompting,Behavior Driven Development (BDD) Scenarios,Building Influence,Buy-in Generation,Business Acumen,Collaboration,Critical Thinking,Decision-Making,Perserverence,Organization,Commitment,Expectation Setting,Initiative,Logical Thinking,Problem-Solving,Receiving Feedback,Requirements Management,Stakeholder Management,Teamwork,Time Management,Use Case Scenarios,User Stories,Verbal Communication,Written Communication","Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Continuous Growth,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Continuous Growth,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Continuous Growth,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Agility,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Agility,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Continuous Growth,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Agility,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Continuous Growth,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Agility,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Continuous Growth,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Agility,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership"
Accessibility Analysis,Deliverable,Something provided as a result of a process.,https://www.browserstack.com/accessibility-testing/what-is-accessibility-testing,,,"An Accessibility Analysis is a report that checks how easy it is for everyone, including people with disabilities, to use a website or app by measuring things like how clear the words are, how easy it is to move around, and if special tools work with it, using careful thinking, good communication, and working with others to make sure everyone can use the product.","1. WebAIM: Accessibility Evaluation Tutorials  
https://webaim.org/articles/evaluating/

2. W3C Web Accessibility Initiative (WAI): Evaluation and Testing  
https://www.w3.org/WAI/test-evaluate/

3. Deque University: Accessibility Testing Tutorials  
https://dequeuniversity.com/tutorials/testing","Steps to produce the deliverable: 
1. The UX Design duty works with other duties to gather everyone’s ideas and make sure all the work fits together, while Business Analysis checks that the Accessibility Analysis is done correctly and meets the goals. 
2. The UX Strategy duty measures how easy things are to use and plans ways to make them better for everyone, getting advice from duties like UX Research, UX Writing, Product Ownership, Product Management, Scrum Master, Development, Graphic Design, Solutions Architecture, and Information Security Analysis. 
3. All duties are kept informed about what is happening, and everyone uses skills like paying attention to details, solving problems, and working together, while following good practices like making decisions, taking responsibility, and making sure everyone feels safe to share ideas, so the Accessibility Analysis is done well at each important step, such as Experience Design, Acceptance Testing, Quality Assurance, and Launch.","An Accessibility Analysis is valuable because it helps everyone understand if a product can be used by people with different abilities, making sure no one is left out. By measuring accessibility, people doing duties like business analysis, UX research, and UX writing can find and fix problems early, which helps reach important steps like experience design, acceptance testing, quality assurance, and launch. This process uses skills like attention to detail, problem-solving, and teamwork, and supports good practices like decision-making, ownership, and making sure everyone feels safe and included.","The duty owner, UX (User Experience) Design, works with other duties to complete an Accessibility Analysis by making sure everyone’s ideas and work fit together. Business Analysis is accountable, making sure the Accessibility Analysis is done right and meets the goals. UX (User Experience) Strategy is responsible for doing the main work, like measuring accessibility and planning how to make things easier for everyone to use. UX (User Experience) Research, UX (User Experience) Writing, Product Ownership, Product Management, Scrum Master, Development, Graphic Design, Solutions Architecture, and Information Security Analysis are consulted, which means they give advice and share their knowledge to help make the Accessibility Analysis better. All duties, including Business Analysis, Development, Graphic Design, Information Security Analysis, Product Management, Product Operations, Product Ownership, Project Management, QA Analysis, Scrum Master, Solutions Architecture, UX (User Experience) Design, UX (User Experience) Research, UX (User Experience) Strategy, UX (User Experience) Writing, Account Management, and Agile Coaching, are informed, so they know what is happening and can stay updated. The work uses skills like attention to detail, problem-solving, and teamwork, and follows practices like decision-making, ownership, and psychological safety to make sure the Accessibility Analyses are done well at each milestone, such as Experience Design, Acceptance Testing, Quality Assurance, and Launch.","Experience Design,Quality Assurance,Acceptance Testing,Launch",UX (User Experience) Design,Measuring Accessibility,,Business Analysis,"UX (User Experience) Research,UX (User Experience) Writing,UX (User Experience) Strategy,Product Ownership,Product Management,Scrum Master,Development,Graphic Design,Solutions Architecture,Information Security Analysis","All duties,Business Analysis,Development,Graphic Design,Information Security Analysis,Product Management,Product Operations,Product Ownership,Project Management,QA Analysis,Scrum Master,Solutions Architecture,UX (User Experience) Design,UX (User Experience) Research,UX (User Experience) Strategy,UX (User Experience) Writing,Account Management,Agile Coaching","Business Analysis,UX (User Experience) Research,UX (User Experience) Writing","Attention to Detail,Collaboration,Critical Thinking,Decision-Making,Perserverence,Organization,Commitment,Initiative,Logical Thinking,Problem-Solving,Teamwork,Time Management,Verbal Communication,Written Communication","Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership,Decision-Making,Empowerment,Ownership,Psychological Safety,Service Leadership"
